Parameters: 
delta_t : 0.000001 
equillibrium_threshold : 0.000100 
max_cycles : 1000000.000000 
urea_min : 0.000000 
urea_max : 8.000000 
urea_steps : 200.000000 

Initial concentrations: 
D : 1000.000000 
I : 0.000000 
N : 0.000000 

DATA START
urea                    |D                       |I                       |N                       |
2.2914572864321610e+00  |7.7043418801718199e-03  |7.8735062229906196e+00  |9.9211878943511499e+02  |
2.3316582914572863e+00  |9.2217941813026918e-03  |8.4800549258530804e+00  |9.9151072328002522e+02  |
2.3718592964824121e+00  |1.1040592996157159e-02  |9.1354093453727803e+00  |9.9085355006160012e+02  |
2.4120603015075379e+00  |1.3220834274926197e-02  |9.8434802725847170e+00  |9.9014329889313660e+02  |
2.4522613065326633e+00  |1.5835218972730113e-02  |1.0608889807333798e+01  |9.8937527497370661e+02  |
2.4924623115577891e+00  |1.8970962943244893e-02  |1.1436501260357437e+01  |9.8854452777669383e+02  |
2.5326633165829144e+00  |2.2733039701852087e-02  |1.2331649780709627e+01  |9.8764561717959418e+02  |
2.5728643216080402e+00  |2.7247825968093348e-02  |1.3300174760466106e+01  |9.8667257741356252e+02  |
2.6130653266331660e+00  |3.2667493591185578e-02  |1.4348453793736894e+01  |9.8561887871267788e+02  |
2.6532663316582914e+00  |3.9175298432715368e-02  |1.5483438155476973e+01  |9.8447738654607622e+02  |
2.6934673366834172e+00  |4.6991946315618136e-02  |1.6712689726544152e+01  |9.8324031832714934e+02  |
2.7336683417085426e+00  |5.6383251201120789e-02  |1.8044419241418385e+01  |9.8189919750738864e+02  |
2.7738693467336684e+00  |6.7670384905383768e-02  |1.9487824627603228e+01  |9.8044450498745118e+02  |
2.8140703517587942e+00  |8.1239973082235545e-02  |2.1052732218159235e+01  |9.7886602780876547e+02  |
2.8542713567839195e+00  |9.7558575574118081e-02  |2.2749936288950309e+01  |9.7715250513546459e+02  |
2.8944723618090453e+00  |1.1718872321684182e-01  |2.4591139676380642e+01  |9.7529167160042857e+02  |
2.9346733668341707e+00  |1.4081009524534804e-01  |2.6589291737799797e+01  |9.7326989816696960e+02  |
2.9748743718592965e+00  |1.6924271133814864e-01  |2.8758426515740656e+01  |9.7107233077291244e+02  |
3.0150753768844223e+00  |2.0347753815176184e-01  |3.1113995301927442e+01  |9.6868252715991105e+02  |
3.0552763819095476e+00  |2.4470970081573704e-01  |3.3672597822176961e+01  |9.6608269247704197e+02  |
3.0954773869346734e+00  |3.0115323578643732e-01  |3.7285844923168540e+01  |9.6241300184107786e+02  |
3.1356783919597992e+00  |4.1273777864069150e-01  |4.5952061844674198e+01  |9.5363520037664409e+02  |
3.1758793969849246e+00  |5.5957117434818138e-01  |5.6027638097832430e+01  |9.4341279072779855e+02  |
3.2160804020100504e+00  |7.5043232832581863e-01  |6.7578642132123804e+01  |9.3167092553954649e+02  |
3.2562814070351758e+00  |9.9564117123423079e-01  |8.0645585241446639e+01  |9.1835877358732409e+02  |
3.2964824120603016e+00  |1.3072053938741148e+00  |9.5241347467093632e+01  |9.0345144713910008e+02  |
3.3366834170854274e+00  |1.6989673966794350e+00  |1.1135020012529550e+02  |8.8695083247799562e+02  |
3.3768844221105527e+00  |2.1867513201575228e+00  |1.2892789057929349e+02  |8.6888535810054998e+02  |
3.4170854271356785e+00  |2.7885101114427044e+00  |1.4790269169179902e+02  |8.4930879819677762e+02  |
3.4572864321608039e+00  |3.5244725117093227e+00  |1.6817727167249538e+02  |8.2829825581575744e+02  |
3.4974874371859297e+00  |4.4172895950754087e+00  |1.8963121088824965e+02  |8.0595149951667850e+02  |
3.5376884422110555e+00  |5.4921800344469496e+00  |2.1212397983500125e+02  |7.8238384013053690e+02  |
3.5778894472361809e+00  |6.7770726021420939e+00  |2.3549819472356799e+02  |7.5772473267425619e+02  |
3.6180904522613067e+00  |8.3027435266231020e+00  |2.5958298104239987e+02  |7.3211427543091077e+02  |
3.6582914572864320e+00  |1.0102945219413508e+01  |2.8419729776292712e+02  |7.0569975701770500e+02  |
3.6984924623115578e+00  |1.2214521561228665e+01  |3.0915310236132223e+02  |6.7863237607749750e+02  |
3.7386934673366836e+00  |1.4677503402868615e+01  |3.3425826671602988e+02  |6.5106422988106954e+02  |
3.7788944723618090e+00  |1.7535176212936296e+01  |3.5931918388237898e+02  |6.2314563990461056e+02  |
3.8190954773869348e+00  |2.0834109922538438e+01  |3.8414303398879986e+02  |5.9502285608859825e+02  |
3.8592964824120601e+00  |2.4624139026902860e+01  |4.0853970283337833e+02  |5.6683615813972847e+02  |
3.8994974874371859e+00  |2.8958278980414210e+01  |4.3232336845153293e+02  |5.3871835256809004e+02  |
3.9396984924623117e+00  |3.3892562972212986e+01  |4.5531378862199801e+02  |5.1079364840583594e+02  |
3.9798994974874371e+00  |3.9485781441436281e+01  |4.7733733590316893e+02  |4.8317688265539960e+02  |
4.0201005025125625e+00  |4.5799105377173021e+01  |4.9822783643279092e+02  |4.5597305819008523e+02  |
4.0603015075376883e+00  |5.2895573791496389e+01  |5.1782727455683073e+02  |4.2927715165163477e+02  |
4.1005025125628141e+00  |6.0839426047207489e+01  |5.3598642756183222e+02  |4.0317414639095625e+02  |
4.1407035175879399e+00  |6.9695261299165395e+01  |5.5256549350749515e+02  |3.7773924519329137e+02  |
4.1809045226130657e+00  |7.9527010530425443e+01  |5.6743477049640626e+02  |3.5303821897318323e+02  |
4.2211055276381906e+00  |9.0396711884712388e+01  |5.8047543769200956e+02  |3.2912785042327670e+02  |
4.2613065326633164e+00  |1.0236308752350611e+02  |5.9158047704513467e+02  |3.0605643543135341e+02  |
4.3015075376884422e+00  |1.1547993026427450e+02  |6.0065576005781804e+02  |2.8386430967789903e+02  |
4.3417085427135680e+00  |1.2979432080383540e+02  |6.0762130620393054e+02  |2.6258437299219503e+02  |
4.3819095477386938e+00  |1.4534471114957796e+02  |6.1241269924066137e+02  |2.4224258960973754e+02  |
4.4221105527638196e+00  |1.6215892638620176e+02  |6.1498262531921432e+02  |2.2285844829457037e+02  |
4.4623115577889445e+00  |1.8025215411496242e+02  |6.1530247366319247e+02  |2.0444537222185301e+02  |
4.5025125628140703e+00  |1.9962500742275881e+02  |6.1336391818811239e+02  |1.8701107438906666e+02  |
4.5427135678391961e+00  |2.2026176131291635e+02  |6.0918037874427705e+02  |1.7055785994278185e+02  |
4.5829145728643219e+00  |2.4212887215751721e+02  |6.0278824591002672e+02  |1.5508288193244064e+02  |
4.6231155778894477e+00  |2.6517389287991955e+02  |5.9424774575041977e+02  |1.4057836136967009e+02  |
4.6633165829145726e+00  |2.8932489144338660e+02  |5.8364332275201298e+02  |1.2703178580466104e+02  |
4.7035175879396984e+00  |3.1449046556558636e+02  |5.7108343175282914e+02  |1.1442610268158840e+02  |
4.7437185929648242e+00  |3.4782443327271318e+02  |5.6823414078397457e+02  |8.3941425943334082e+01  |
4.7839195979899500e+00  |3.8716181376854502e+02  |5.6745830373926003e+02  |4.5379882492201610e+01  |
4.8241206030150758e+00  |4.2297833840162917e+02  |5.4927092623435090e+02  |2.7750735363996498e+01  |
4.8643216080402008e+00  |4.4990654349865474e+02  |5.2552677109338788e+02  |2.4566685407915873e+01  |
4.9045226130653266e+00  |4.7712385654506392e+02  |5.0126391292020139e+02  |2.1612230534754939e+01  |
4.9447236180904524e+00  |5.0446698379959349e+02  |4.7663735414355830e+02  |1.8895662056832922e+01  |
4.9849246231155782e+00  |5.3177044348065021e+02  |4.5180946240105470e+02  |1.6420094118247441e+01  |
5.0251256281407040e+00  |5.5887098962161735e+02  |4.2694538069014823e+02  |1.4183629688219934e+01  |
5.0653266331658289e+00  |5.8561106917192558e+02  |4.0220871580621969e+02  |1.2180215021873870e+01  |
5.1055276381909547e+00  |6.1184233614781863e+02  |3.7775737738211984e+02  |1.0400286470070936e+01  |
5.1457286432160805e+00  |6.3742877690555986e+02  |3.5373977461875887e+02  |8.8314484756743017e+00  |
5.1859296482412063e+00  |6.6224944084125173e+02  |3.3029142581714910e+02  |7.4591333416144838e+00  |
5.2261306532663321e+00  |6.8619961618716832e+02  |3.0753285779646660e+02  |6.2675260163128907e+00  |
5.2663316582914570e+00  |7.0919203617333289e+02  |2.8556783852929811e+02  |5.2401252973664683e+00  |
5.3065326633165828e+00  |7.3115774228276825e+02  |2.6448205512479359e+02  |4.3602025924426986e+00  |
5.3467336683417086e+00  |7.5204526540386257e+02  |2.4434331427458062e+02  |3.6114203215457104e+00  |
5.3869346733668344e+00  |7.7182011038907103e+02  |2.2520175979233704e+02  |2.9781298186095433e+00  |
5.4271356783919602e+00  |7.9046394431740680e+02  |2.0709045985710054e+02  |2.4455958255099297e+00  |
5.4673366834170851e+00  |8.0797269411608727e+02  |1.9002705645601486e+02  |2.0002494279037384e+00  |
5.5075376884422109e+00  |8.2435515656221366e+02  |1.7401509430949224e+02  |1.6297491282881285e+00  |
5.5477386934673367e+00  |8.3963111488457196e+02  |1.5904585074559540e+02  |1.3230343698266893e+00  |
5.5879396984924625e+00  |8.5382974326929184e+02  |1.4509995874100403e+02  |1.0702979896992064e+00  |
5.6281407035175883e+00  |8.6698756543763272e+02  |1.3214947453536647e+02  |8.6296002700041852e-01  |
5.6683417085427132e+00  |8.7914711775161641e+02  |1.2015931319237711e+02  |6.9356905600211194e-01  |
5.7085427135678390e+00  |8.9035525226037078e+02  |1.0908902504408935e+02  |5.5572269552206111e-01  |
5.7487437185929648e+00  |9.0066170159734168e+02  |9.8894331707333180e+01  |4.4396669530675492e-01  |
5.7889447236180906e+00  |9.1011821617121313e+02  |8.9528105493465844e+01  |3.5367833532906062e-01  |
5.8291457286432165e+00  |9.1877707486506563e+02  |8.0941944356859665e+01  |2.8098077807896366e-01  |
5.8693467336683414e+00  |9.2669076344185646e+02  |7.3086606915342031e+01  |2.2262964281209077e-01  |
5.9095477386934672e+00  |9.3391060986799096e+02  |6.5913450492274535e+01  |1.7593963970823820e-01  |
5.9497487437185930e+00  |9.4048696254794390e+02  |5.9374350786988792e+01  |1.3868666506401964e-01  |
5.9899497487437188e+00  |9.4646819568307842e+02  |5.3422757360241540e+01  |1.0904695667265414e-01  |
6.0301507537688446e+00  |9.5190062535020218e+02  |4.8013846282188574e+01  |8.5528367594960047e-02  |
6.0703517587939704e+00  |9.5682832010579273e+02  |4.3104764737922281e+01  |6.6915156304301879e-02  |
6.1105527638190953e+00  |9.6129279075042734e+02  |3.8654987096494956e+01  |5.2222153068096244e-02  |
6.1507537688442211e+00  |9.6533314509032743e+02  |3.4626202621081667e+01  |4.0652288589557412e-02  |
6.1909547738693469e+00  |9.6898579496828165e+02  |3.0982640427343018e+01  |3.1564604362698367e-02  |
6.2311557788944727e+00  |9.7228470434775784e+02  |2.7690851562715395e+01  |2.4444089522789914e-02  |
6.2713567839195985e+00  |9.7526126876372518e+02  |2.4719852268376545e+01  |1.8878967903189114e-02  |
6.3115577889447234e+00  |9.7794481789900453e+02  |2.2040642504943399e+01  |1.4539596044722910e-02  |
6.3517587939698492e+00  |9.8036203439554106e+02  |1.9626800741424169e+01  |1.1164863038025720e-02  |
6.3919597989949750e+00  |9.8253768322187807e+02  |1.7453769916749252e+01  |8.5468613815664080e-03  |
6.4321608040201008e+00  |9.8449424700536122e+02  |1.5499231486842055e+01  |6.5215077837886531e-03  |
6.4723618090452266e+00  |9.8625256365518078e+02  |1.3742477601727279e+01  |4.9587430895722722e-03  |
6.5125628140703515e+00  |9.8783146342355030e+02  |1.2164780116389599e+01  |3.7564600676440324e-03  |
6.5527638190954773e+00  |9.8924810321114728e+02  |1.0749062413199143e+01  |2.8343756425215985e-03  |
6.5929648241206031e+00  |9.9051839649794363e+02  |9.4794742267552792e+00  |2.1292753057743259e-03  |
6.6331658291457289e+00  |9.9165653773747033e+02  |8.3418702717433018e+00  |1.5919907824955798e-03  |
6.6733668341708547e+00  |9.9267542042838841e+02  |7.3233954528705070e+00  |1.1841187469264168e-03  |
6.7135678391959797e+00  |9.9358694838122767e+02  |6.4121759666988654e+00  |8.7565206688620641e-04  |
6.7537688442211055e+00  |9.9440163993720444e+02  |5.5977166408553458e+00  |6.4342194454943479e-04  |
6.7939698492462313e+00  |9.9512922507284100e+02  |4.8703055355348353e+00  |4.6939162819262291e-04  |
6.8341708542713571e+00  |9.9577853547279074e+02  |4.2211248914912405e+00  |3.3963572469015741e-04  |
6.8743718592964829e+00  |9.9635728775884195e+02  |3.6424687503538378e+00  |2.4349080073701940e-04  |
6.9145728643216078e+00  |9.9687276012587415e+02  |3.1270671771896965e+00  |1.7269693536059807e-04  |
6.9547738693467336e+00  |9.9733126270447133e+02  |2.6686163194775574e+00  |1.2097604800696351e-04  |
6.9949748743718594e+00  |9.9773880198956272e+02  |2.2611145145142477e+00  |8.3495926488043510e-05  |
7.0351758793969852e+00  |9.9810043970430490e+02  |1.8995036732879982e+00  |5.6622401911818579e-05  |
7.0753768844221110e+00  |9.9842104645959580e+02  |1.5789159660964573e+00  |3.7574311384150225e-05  |
7.1155778894472359e+00  |9.9870475058738543e+02  |1.2952251397857086e+00  |2.4272830987542928e-05  |
7.1557788944723617e+00  |9.9895538250819811e+02  |1.0446023428865396e+00  |1.5148913490151868e-05  |
7.1959798994974875e+00  |9.9917661497420795e+02  |8.2337599998875444e-01  |9.0258094467106316e-06  |
7.2361809045226133e+00  |9.9937129953151987e+02  |6.2869542448589255e-01  |5.0439950849357112e-06  |
7.2763819095477391e+00  |9.9954229951154025e+02  |4.5769792729834546e-01  |2.5611625818876273e-06  |
7.3165829145728640e+00  |9.9969221984937565e+02  |3.0777904171018405e-01  |1.1089137783743937e-06  |
7.3567839195979898e+00  |9.9982323400720554e+02  |1.7676564277984735e-01  |3.5001519230161841e-07  |
7.3969849246231156e+00  |9.9993740826374096e+02  |6.2591694319006339e-02  |4.1940687889556682e-08  |
7.4371859296482414e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
7.4773869346733672e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
7.5175879396984921e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
7.5577889447236180e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
7.5979899497487438e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
7.6381909547738696e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
7.6783919597989954e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
7.7185929648241203e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
7.7587939698492461e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
7.7989949748743719e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
7.8391959798994977e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
7.8793969849246235e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
7.9195979899497493e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
7.9597989949748742e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
8.0000000000000000e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
