Parameters: 
delta_t : 0.000000 
equillibrium_threshold : 0.000010 
max_cycles : 10000000.000000 
urea_min : 0.000000 
urea_max : 8.000000 
urea_steps : 20.000000 

Initial concentrations: 
D : 1000.000000 
I : 0.000000 
N : 0.000000 

DATA START
urea                    |D                       |I                       |N                       |
0.0000000000000000e+00  |3.2761845403963931e-07  |1.3801082368070813e-01  |9.9986198884870498e+02  |
4.2105263157894735e-01  |2.0543290586553207e-06  |2.8612563575514871e-01  |9.9971387230992877e+02  |
8.4210526315789469e-01  |1.2921210633937350e-05  |5.9506273497882844e-01  |9.9940492434379962e+02  |
1.2631578947368420e+00  |8.1680464586336555e-05  |1.2439449731243266e+00  |9.9875597334638894e+02  |
1.6842105263157894e+00  |5.2050111505640259e-04  |2.6218506344295993e+00  |9.9737762886446660e+02  |
2.1052631578947367e+00  |3.3589340173277617e-03  |5.5977198743264296e+00  |9.9439892119170008e+02  |
2.5263157894736841e+00  |2.2092543027374720e-02  |1.2185606954638075e+01  |9.8779230050229637e+02  |
2.9473684210526314e+00  |1.4922607505606822e-01  |2.7255156672962752e+01  |9.7259561725189565e+02  |
3.3684210526315788e+00  |2.0752275077226812e+00  |1.2510865473725323e+02  |8.7281611775498834e+02  |
3.7894736842105261e+00  |1.8358566540214358e+01  |3.6588274801915446e+02  |6.1575868544050809e+02  |
4.2105263157894735e+00  |8.7432270728043775e+01  |5.7722725674623723e+02  |3.3534047252590722e+02  |
4.6315789473684212e+00  |2.7016918585170441e+02  |5.9218348639598491e+02  |1.3764732775234438e+02  |
5.0526315789473681e+00  |5.7721499295327089e+02  |4.0999673110209329e+02  |1.2788275944611772e+01  |
5.4736842105263150e+00  |8.1063390710332169e+02  |1.8742900823048393e+02  |1.9370846662452643e+00  |
5.8947368421052628e+00  |9.3132819275496479e+02  |6.8479870932678224e+01  |1.9193631240680870e-01  |
6.3157894736842106e+00  |9.7821142919413990e+02  |2.1774427795429173e+01  |1.4143010350902098e-02  |
6.7368421052631575e+00  |9.9406980847090927e+02  |5.9294583428517038e+00  |7.3318624964130549e-04  |
7.1578947368421044e+00  |9.9896782013102882e+02  |1.0321651096010807e+00  |1.4759371595747532e-05  |
7.5789473684210522e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
8.0000000000000000e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
