Parameters: 
delta_t : 0.000000 
equillibrium_threshold : 0.000100 
max_cycles : 10000000.000000 
urea_min : 0.000000 
urea_max : 8.000000 
urea_steps : 100.000000 

Initial concentrations: 
D : 1000.000000 
I : 0.000000 
N : 0.000000 

DATA START
urea                    |D                       |I                       |N                       |
0.0000000000000000e+00  |3.2548100482963825e-06  |1.3708463980991465e+00  |9.9862915034709067e+02  |
8.0808080808080815e-02  |4.6257644606793730e-06  |1.5753951485396067e+00  |9.9842460022568434e+02  |
1.6161616161616163e-01  |6.5741749065767057e-06  |1.8104646050522857e+00  |9.9818952882077497e+02  |
2.4242424242424243e-01  |9.3431654523709981e-06  |2.0805855766948782e+00  |9.9791940508014056e+02  |
3.2323232323232326e-01  |1.3278675926822120e-05  |2.3910521528097353e+00  |9.9760893456852136e+02  |
4.0404040404040409e-01  |1.8872614815912152e-05  |2.7479515461689066e+00  |9.9725202958123191e+02  |
4.8484848484848486e-01  |2.6823030930751894e-05  |3.1581122282034975e+00  |9.9684186094877862e+02  |
5.6565656565656575e-01  |3.8122455032980288e-05  |3.6294706960709933e+00  |9.9637049118147524e+02  |
6.4646464646464652e-01  |5.4184138412374845e-05  |4.1713569434991395e+00  |9.9582858887235227e+02  |
7.2727272727272729e-01  |7.7012099605031187e-05  |4.7940983063601230e+00  |9.9520582468155214e+02  |
8.0808080808080818e-01  |1.0946215576719587e-04  |5.5100408030445651e+00  |9.9448984973478014e+02  |
8.8888888888888895e-01  |1.5558508582205874e-04  |6.3328865122348663e+00  |9.9366695790268989e+02  |
9.6969696969696972e-01  |2.2114632008545185e-04  |7.2787445835370761e+00  |9.9272103427013235e+02  |
1.0505050505050506e+00  |3.1434600847455923e-04  |8.3661925207419454e+00  |9.9163349313325500e+02  |
1.1313131313131315e+00  |4.4682526580501421e-04  |9.6161430161959132e+00  |9.9038341015852609e+02  |
1.2121212121212122e+00  |6.3516373646880467e-04  |1.1053309881099560e+01  |9.8894605495515748e+02  |
1.2929292929292930e+00  |9.0290122828185881e-04  |1.2705464799642083e+01  |9.8729363229912042e+02  |
1.3737373737373739e+00  |1.2835404006972971e-03  |1.4605073758046325e+01  |9.8539364270157398e+02  |
1.4545454545454546e+00  |1.8247114177358111e-03  |1.6789299259051063e+01  |9.8320887602949995e+02  |
1.5353535353535355e+00  |2.5941410243569092e-03  |1.9300850284216189e+01  |9.8069655557476506e+02  |
1.6161616161616164e+00  |3.6881553262599087e-03  |2.2188957359720519e+01  |9.7780735448497933e+02  |
1.6969696969696970e+00  |5.2437465549141854e-03  |2.5510244264884033e+01  |9.7448451198855753e+02  |
