Parameters: 
delta_t : 0.000000 
equillibrium_threshold : 0.000100 
max_cycles : 10000000.000000 
urea_min : 0.000000 
urea_max : 8.000000 
urea_steps : 100.000000 

Initial concentrations: 
D : 1000.000000 
I : 0.000000 
N : 0.000000 

DATA START
urea                    |D                       |I                       |N                       |
1.7777777777777779e+00  |7.4558018136072993e-03  |2.9330060609989356e+01  |9.7066248358821201e+02  |
1.8585858585858588e+00  |1.0601522736013188e-02  |3.3723530838249417e+01  |9.6626586763907790e+02  |
1.9393939393939394e+00  |1.5075210546111458e-02  |3.8777063976438320e+01  |9.6120786081300082e+02  |
2.0202020202020203e+00  |2.1437889035466926e-02  |4.4590354799826407e+01  |9.5538820731113708e+02  |
2.1010101010101012e+00  |3.0487655073175919e-02  |5.1277990477840831e+01  |9.4869152186709107e+02  |
2.1818181818181821e+00  |4.3360264777363752e-02  |5.8972254440843379e+01  |9.4098438529435509e+02  |
2.2626262626262630e+00  |6.1671559242026559e-02  |6.7825093989347110e+01  |9.3211323445141136e+02  |
2.3434343434343434e+00  |8.7721112822579009e-02  |7.8011781693494868e+01  |9.2190049719355454e+02  |
2.4242424242424243e+00  |1.2478106805627419e-01  |8.9733860298707256e+01  |9.1014135863328090e+02  |
2.5050505050505052e+00  |1.7750779440827497e-01  |1.0322330245324505e+02  |8.9659918975238941e+02  |
2.5858585858585861e+00  |2.5252643152209847e-01  |1.1874654797401055e+02  |8.8100092559456061e+02  |
2.6666666666666670e+00  |3.5926413324415651e-01  |1.3661018482036496e+02  |8.6303055104645819e+02  |
2.7474747474747478e+00  |5.1113007628480123e-01  |1.5716542827596396e+02  |8.4232344164772462e+02  |
2.8282828282828287e+00  |7.2719498933099580e-01  |1.8081488510475157e+02  |8.1845791990584041e+02  |
2.9090909090909092e+00  |1.0345687461544117e+00  |2.0801840097679610e+02  |7.9094703027704111e+02  |
2.9898989898989901e+00  |1.4717672569863887e+00  |2.3929961757031802e+02  |7.5922861517264323e+02  |
3.0707070707070709e+00  |2.0934704295824846e+00  |2.7525263241692920e+02  |7.2265389715347499e+02  |
3.1515151515151518e+00  |2.9772179834646528e+00  |3.1654703745941009e+02  |6.8047574455711970e+02  |
3.2323232323232327e+00  |4.2328100096654486e+00  |3.6393207003209852e+02  |6.3183511995826484e+02  |
3.3131313131313136e+00  |6.0154185452545441e+00  |4.1823650946419440e+02  |5.7574807199056841e+02  |
3.3939393939393940e+00  |8.5437745959944618e+00  |4.8036403041509175e+02  |5.1109219498888046e+02  |
3.4747474747474749e+00  |1.2125125425263320e+01  |5.5127821229782057e+02  |4.3659666227699392e+02  |
3.5555555555555558e+00  |1.7189094342964275e+01  |6.3197454455378022e+02  |3.5083636110328683e+02  |
3.6363636363636367e+00  |2.4333707721564604e+01  |7.2343098934452132e+02  |2.5223530293394188e+02  |
3.7171717171717176e+00  |3.4816173786033161e+01  |8.2650561236750389e+02  |1.3867821384652225e+02  |
3.7979797979797985e+00  |6.6598137971628262e+01  |8.7338180732642320e+02  |6.0020054701971787e+01  |
3.8787878787878789e+00  |7.9733513644544971e+01  |8.6437383694077437e+02  |5.5892649414677805e+01  |
3.9595959595959598e+00  |9.5360627714002348e+01  |8.5296725309005376e+02  |5.1672119195915400e+01  |
4.0404040404040407e+00  |1.1386925874155469e+02  |8.3876594906899345e+02  |4.7364792189397996e+01  |
4.1212121212121220e+00  |1.3566682419404532e+02  |8.2134783959608740e+02  |4.2985336209867206e+01  |
4.2020202020202024e+00  |1.6115737863072854e+02  |8.0028363912296220e+02  |3.8558982246326032e+01  |
4.2828282828282829e+00  |1.9071004558543001e+02  |7.7516628896495263e+02  |3.4123665449640484e+01  |
4.3636363636363642e+00  |2.2461758766169530e+02  |7.4565154560962139e+02  |2.9730866728655894e+01  |
4.4444444444444446e+00  |2.6304494175566128e+02  |7.1150986810001280e+02  |2.5445190144252784e+01  |
4.5252525252525260e+00  |3.0597313771265692e+02  |6.7268534538053461e+02  |2.1341516906797857e+01  |
4.6060606060606064e+00  |3.5314690730624238e+02  |6.2935365298809120e+02  |1.7499439705685482e+01  |
4.6868686868686869e+00  |4.0403757967412582e+02  |5.8196713772268447e+02  |1.3995282603145244e+01  |
4.7676767676767682e+00  |4.5783480979071743e+02  |5.3127243648183605e+02  |1.0892753727521987e+01  |
4.8484848484848486e+00  |5.1347654099512147e+02  |4.7828915874359876e+02  |8.2343002613215752e+00  |
4.9292929292929299e+00  |5.6971972148265240e+02  |4.2424496800546405e+02  |6.0353105119068928e+00  |
5.0101010101010104e+00  |6.2524514414508667e+02  |3.7047214077390015e+02  |4.2827150810219505e+00  |
5.0909090909090917e+00  |6.7877757256516202e+02  |3.1828392197565415e+02  |2.9385054591758268e+00  |
5.1717171717171722e+00  |7.2919781318059381e+02  |2.6885513541392407e+02  |1.9470514054636767e+00  |
5.2525252525252526e+00  |7.7562882598188992e+02  |2.2312714436556644e+02  |1.2440296525303844e+00  |
5.3333333333333339e+00  |8.1748071182980630e+02  |1.8175440818155914e+02  |7.6487998869411478e-01  |
5.4141414141414144e+00  |8.5445540595189448e+02  |1.4509347910211366e+02  |4.5111494597042567e-01  |
5.4949494949494957e+00  |8.8651690093440675e+02  |1.1322917803386835e+02  |2.5392103174185621e-01  |
5.5757575757575761e+00  |9.1384040977039660e+02  |8.6024324349945132e+01  |1.3526587964313785e-01  |
5.6565656565656575e+00  |9.3675326641707625e+02  |6.3179499755913476e+01  |6.7233827010535069e-02  |
5.7373737373737379e+00  |9.5567759512345594e+02  |4.4292005921858518e+01  |3.0398954708967151e-02  |
5.8181818181818183e+00  |9.7108041390753283e+02  |2.8907694090722941e+01  |1.1892001734667241e-02  |
5.8989898989898997e+00  |9.8343636285526111e+02  |1.6560059556652497e+01  |3.5775880749115310e-03  |
5.9797979797979801e+00  |9.9320068822821463e+02  |6.7987600000276807e+00  |5.5177176487283071e-04  |
6.0606060606060614e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
6.1414141414141419e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
6.2222222222222223e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
6.3030303030303036e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
6.3838383838383841e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
6.4646464646464654e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
6.5454545454545459e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
6.6262626262626272e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
6.7070707070707076e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
6.7878787878787881e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
6.8686868686868694e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
6.9494949494949498e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
7.0303030303030312e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
7.1111111111111116e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
7.1919191919191929e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
7.2727272727272734e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
7.3535353535353538e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
7.4343434343434351e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
7.5151515151515156e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
7.5959595959595969e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
7.6767676767676774e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
7.7575757575757578e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
7.8383838383838391e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
7.9191919191919196e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
8.0000000000000000e+00  |1.0000000000000000e+03  |0.0000000000000000e+00  |0.0000000000000000e+00  |
